Time_Sec,FPS,Detected_Person,Detected_Objects
2.05,4.3,[],[]
2.29,4.2,[],[]
2.53,4.2,[],[]
2.74,4.6,[],[]
2.97,4.4,[],[]
3.2,4.4,[],[]
3.42,4.4,[],[]
3.65,4.5,[],[]
3.87,4.5,[],[]
4.09,4.5,[],[]
4.32,4.5,[],[]
4.55,4.4,[],[]
4.78,4.3,[],[]
5.01,4.4,[],[]
5.23,4.5,[],[]
5.46,4.3,[],[]
5.69,4.4,[],[]
5.92,4.5,[],[]
6.15,4.3,[],[]
6.37,4.6,[],[]
6.61,4.2,[],[]
6.83,4.4,[],[]
7.06,4.5,[],[]
7.28,4.5,[],[]
7.52,4.2,[],[]
7.75,4.3,[],[]
7.98,4.3,[],[]
8.21,4.5,[],[]
8.45,4.1,[],[]
8.67,4.5,[],[]
8.91,4.2,[],[]
9.13,4.5,[],[]
9.36,4.4,[],[]
9.6,4.2,[],[]
9.84,4.2,[],[]
10.09,3.9,[],[]
10.32,4.4,[],[]
10.56,4.2,[],[]
10.8,4.1,['Person'],[]
11.04,4.1,[],[]
11.28,4.3,[],[]
11.52,4.2,[],[]
11.75,4.3,[],[]
12.0,4.1,[],[]
12.22,4.4,[],[]
12.45,4.5,[],[]
12.69,4.2,[],[]
12.91,4.5,[],[]
13.15,4.2,[],[]
13.39,4.1,[],[]
13.62,4.5,[],[]
13.85,4.2,[],[]
14.08,4.4,[],[]
14.32,4.2,[],[]
14.55,4.3,[],[]
14.77,4.7,[],[]
14.99,4.5,[],[]
15.23,4.1,[],[]
15.47,4.2,[],[]
15.71,4.2,[],[]
15.93,4.5,[],[]
16.16,4.5,[],[]
16.4,4.1,[],[]
16.64,4.2,[],[]
16.88,4.2,[],[]
17.12,4.2,[],[]
17.34,4.5,[],[]
17.57,4.5,[],[]
17.81,4.2,[],[]
18.03,4.5,[],[]
18.27,4.2,[],[]
18.51,4.2,[],[]
18.75,4.2,[],[]
18.99,4.2,[],[]
19.23,4.2,[],[]
19.5,3.7,[],[]
19.75,4.1,[],[]
20.0,3.9,[],[]
20.24,4.2,[],[]
20.48,4.2,[],[]
20.72,4.2,['Person'],[]
20.97,4.0,[],[]
21.19,4.5,[],[]
21.43,4.1,[],[]
21.66,4.4,[],[]
21.9,4.2,[],[]
22.14,4.2,[],[]
22.37,4.4,[],[]
22.61,4.2,[],[]
22.83,4.4,[],[]
23.07,4.2,[],[]
23.31,4.2,[],[]
23.55,4.2,[],[]
23.79,4.2,[],[]
24.01,4.5,[],[]
24.25,4.2,[],[]
24.5,4.1,[],[]
24.73,4.2,[],[]
24.97,4.1,[],[]
25.21,4.2,[],[]
25.44,4.5,[],[]
25.68,4.2,[],[]
25.92,4.1,[],[]
26.16,4.2,[],[]
26.38,4.4,[],[]
26.61,4.5,[],[]
26.86,3.9,[],[]
27.1,4.2,[],[]
27.34,4.2,[],[]
27.58,4.2,[],[]
27.82,4.2,[],[]
28.05,4.5,[],[]
28.3,3.9,[],[]
28.54,4.2,[],[]
28.77,4.5,[],[]
29.0,4.2,[],[]
29.23,4.4,[],[]
29.45,4.5,[],[]
29.68,4.5,[],[]
29.93,3.9,[],[]
30.17,4.2,[],[]
30.41,4.2,[],[]
30.65,4.1,[],[]
30.89,4.2,[],[]
31.13,4.2,[],[]
31.37,4.2,[],[]
31.61,4.2,[],[]
31.84,4.5,[],[]
32.08,4.2,[],[]
32.31,4.4,[],[]
32.54,4.3,[],[]
32.77,4.5,[],[]
33.02,3.9,[],[]
33.26,4.1,['Person'],[]
33.51,4.1,[],[]
33.74,4.3,[],[]
33.98,4.2,[],[]
34.22,4.2,[],[]
34.47,4.0,[],[]
34.71,4.2,[],[]
34.94,4.3,[],[]
35.17,4.4,['Person'],[]
35.41,4.2,[],[]
35.65,4.2,[],[]
35.89,4.2,[],[]
36.14,4.0,[],[]
36.37,4.2,[],[]
36.62,4.1,[],[]
36.85,4.2,[],['chair']
37.09,4.3,[],[]
37.33,4.0,[],['chair']
37.57,4.2,[],['chair']
37.81,4.2,[],['chair']
38.04,4.2,[],['chair']
38.29,4.1,[],['chair']
38.53,4.1,[],[]
38.77,4.3,[],['chair']
39.01,4.2,[],[]
39.25,4.0,[],[]
39.5,4.0,[],[]
39.75,4.0,[],[]
39.99,4.2,[],[]
40.23,4.1,[],[]
40.46,4.3,[],[]
40.69,4.5,[],[]
40.95,3.8,[],[]
41.19,4.2,[],['chair']
41.44,4.0,[],[]
41.66,4.4,[],[]
41.9,4.3,[],[]
42.13,4.3,[],['chair']
42.36,4.3,[],['chair']
42.61,4.1,[],['chair']
42.85,4.1,[],['chair']
43.09,4.2,[],[]
43.33,4.1,[],[]
43.56,4.3,[],[]
