Time_Sec,FPS,Detected_Person,Detected_Objects
2.07,11.6,[],[]
2.16,10.4,[],[]
2.25,10.9,[],[]
2.35,10.2,[],[]
2.45,10.4,[],[]
2.54,10.7,[],[]
2.61,14.0,[],[]
2.71,10.0,[],[]
2.81,10.0,[],[]
2.91,10.1,[],[]
3.01,10.4,[],[]
3.11,10.2,[],[]
3.18,13.1,[],[]
3.26,12.4,[],[]
3.36,10.3,[],[]
3.46,10.5,[],[]
3.55,10.4,[],[]
3.65,10.5,[],[]
3.74,10.3,[],[]
3.85,9.4,[],[]
3.92,14.3,[],[]
4.02,10.4,[],[]
4.13,9.0,[],[]
4.22,10.3,[],[]
4.32,10.0,[],[]
4.42,10.9,[],[]
4.51,10.6,[],[]
4.61,10.2,[],[]
4.7,10.5,[],[]
4.8,10.5,[],[]
4.9,10.3,[],[]
4.98,12.5,[],[]
5.07,10.5,[],[]
5.17,10.4,[],[]
5.26,10.3,[],[]
5.36,10.6,[],[]
5.44,12.2,[],[]
5.54,10.5,[],[]
5.62,12.1,[],[]
5.72,10.0,[],[]
5.82,9.4,[],[]
5.92,10.4,[],[]
6.02,10.2,[],[]
6.11,10.8,[],[]
6.21,10.5,[],[]
6.3,10.2,[],[]
6.4,10.5,[],[]
6.48,12.3,[],[]
6.58,10.4,[],[]
6.69,8.9,[],[]
6.78,10.9,[],[]
6.86,11.8,[],[]
6.97,9.9,[],[]
7.06,11.1,[],[]
7.15,10.4,[],[]
7.25,10.2,[],[]
7.34,10.9,[],[]
7.44,10.3,[],[]
7.54,10.4,[],[]
7.62,11.6,[],[]
7.71,10.9,[],[]
7.81,10.7,[],[]
7.92,8.9,[],[]
8.0,12.4,[],[]
8.1,10.4,[],[]
8.19,10.5,[],[]
8.27,12.4,[],[]
8.38,9.1,[],[]
8.48,10.6,[],[]
8.56,12.0,[],[]
8.66,10.5,[],[]
8.75,10.4,[],[]
8.85,10.4,[],[]
8.94,10.5,[],[]
9.04,10.6,[],[]
9.12,11.9,[],[]
9.23,9.0,[],[]
9.32,11.3,[],[]
9.42,10.0,[],[]
9.52,10.3,[],[]
9.6,12.3,[],[]
9.7,10.4,[],[]
9.79,10.4,[],[]
9.87,12.6,[],[]
9.98,9.1,[],[]
10.06,12.1,[],[]
10.18,8.9,[],[]
10.27,10.4,[],[]
10.35,12.5,[],[]
10.47,8.6,[],[]
10.56,11.0,[],[]
10.66,10.3,[],[]
10.75,10.7,[],[]
10.85,10.4,[],[]
10.94,10.3,[],[]
11.04,10.3,[],[]
11.14,10.5,[],[]
11.23,10.1,[],[]
11.34,9.1,[],[]
11.44,10.4,[],[]
11.54,10.6,[],[]
11.63,10.3,[],[]
11.73,10.6,[],[]
11.82,10.5,[],[]
11.9,12.2,[],[]
12.02,8.9,[],[]
12.12,9.3,[],[]
12.21,11.9,[],[]
12.3,10.4,[],[]
12.4,10.1,[],[]
12.5,10.7,[],[]
12.59,10.4,[],[]
12.69,10.5,[],[]
12.78,10.4,[],[]
12.88,10.3,[],[]
12.97,10.7,[],[]
13.07,10.2,[],[]
13.17,10.4,[],[]
13.26,10.4,[],[]
13.36,10.0,[],[]
13.46,10.9,[],[]
13.54,12.5,[],[]
13.65,9.0,[],[]
13.74,10.4,[],[]
13.84,10.4,[],[]
13.94,10.4,[],[]
14.03,10.3,[],[]
14.13,10.6,[],[]
14.22,10.3,[],[]
14.32,10.3,[],[]
14.42,10.4,[],[]
14.51,10.6,[],[]
14.61,10.2,[],[]
14.7,10.4,[],[]
14.8,10.4,[],[]
14.91,9.4,[],[]
14.99,11.5,[],[]
15.09,10.7,[],[]
15.18,10.4,[],[]
15.28,10.5,[],[]
15.38,10.4,[],[]
15.46,12.3,[],[]
15.55,10.3,[],[]
15.65,10.5,[],[]
15.73,12.1,[],[]
15.82,10.7,[],[]
15.9,12.7,[],[]
16.02,8.8,[],[]
16.13,8.9,[],[]
16.23,10.1,[],[]
16.32,10.7,[],[]
16.43,9.0,[],[]
16.53,10.0,[],[]
16.62,10.8,[],[]
16.72,10.4,[],[]
16.82,10.4,[],[]
16.91,10.4,[],[]
17.01,10.2,[],[]
17.11,9.6,[],[]
17.2,11.6,[],[]
17.3,10.2,[],[]
17.38,11.8,[],[]
17.48,10.3,[],[]
17.57,11.1,[],[]
17.66,10.5,[],[]
17.74,12.4,[],[]
17.86,8.9,[],[]
17.95,10.7,[],[]
18.05,10.4,[],[]
18.14,10.3,[],[]
18.24,10.5,[],[]
18.34,10.0,[],[]
18.43,10.9,[],[]
18.53,10.3,[],[]
18.62,10.5,[],[]
18.71,11.3,[],[]
18.8,11.4,[],[]
18.9,10.4,[],[]
18.99,10.5,[],[]
19.09,10.3,[],[]
19.18,10.4,[],[]
19.28,10.4,[],[]
19.38,10.2,[],[]
19.47,10.7,[],[]
19.57,10.2,[],[]
19.66,10.7,[],[]
19.76,10.4,[],[]
19.87,9.5,[],[]
19.95,11.4,[],[]
20.05,10.2,[],[]
20.14,10.7,[],[]
20.24,10.4,[],[]
