Time_Sec,FPS,Detected_Person,Detected_Objects
63.7,4.2,[],[]
63.94,4.2,[],[]
64.18,4.1,[],[]
64.4,4.6,[],[]
64.64,4.2,[],[]
64.88,4.2,[],[]
65.12,4.1,[],[]
65.37,4.1,[],[]
65.6,4.3,[],[]
65.84,4.2,[],[]
66.08,4.2,[],[]
66.34,3.9,[],[]
66.58,4.2,[],[]
66.83,3.9,[],[]
67.06,4.4,[],[]
67.3,4.2,[],[]
67.54,4.1,[],[]
67.78,4.2,[],[]
68.0,4.5,[],[]
68.24,4.2,[],[]
68.48,4.2,[],[]
68.72,4.2,[],[]
68.96,4.2,[],[]
69.19,4.4,[],[]
69.45,3.9,[],[]
69.7,3.9,[],[]
69.94,4.1,[],[]
70.18,4.3,[],[]
70.42,4.2,[],[]
70.66,4.2,[],[]
70.88,4.5,[],[]
71.12,4.2,[],[]
71.35,4.5,[],[]
71.59,4.2,[],[]
71.84,3.9,[],[]
72.09,4.1,[],[]
72.34,4.0,[],[]
72.58,4.2,[],[]
72.82,4.2,[],[]
73.04,4.4,[],[]
73.3,3.9,[],[]
73.54,4.2,[],[]
73.78,4.2,[],[]
74.01,4.4,[],[]
74.24,4.2,[],[]
74.48,4.2,[],[]
74.72,4.2,[],[]
74.96,4.2,[],[]
75.2,4.2,[],[]
75.44,4.2,[],[]
75.68,4.1,[],[]
75.92,4.2,[],[]
76.16,4.2,[],[]
76.4,4.1,[],[]
76.65,4.1,[],[]
76.88,4.3,[],[]
77.12,4.1,[],[]
77.36,4.2,[],[]
77.6,4.2,[],[]
77.84,4.2,[],[]
78.08,4.2,[],[]
78.33,4.1,[],['chair']
78.56,4.3,[],[]
78.8,4.2,[],[]
79.05,4.0,[],['chair']
79.29,4.1,[],[]
79.54,4.1,[],[]
79.78,4.1,[],[]
80.03,4.1,[],[]
80.26,4.3,[],[]
80.5,4.2,[],[]
80.74,4.1,[],[]
80.98,4.1,[],[]
81.24,3.9,[],[]
81.47,4.2,[],[]
81.73,4.0,[],['chair']
81.94,4.7,[],[]
82.19,3.9,[],[]
82.44,4.1,[],['chair']
82.7,3.8,[],[]
82.93,4.4,[],[]
83.17,4.2,[],[]
83.41,4.2,[],[]
83.66,4.1,[],[]
83.89,4.2,[],[]
84.13,4.1,[],[]
84.38,4.1,[],[]
84.61,4.2,[],[]
84.86,4.0,[],[]
85.09,4.4,[],[]
85.33,4.1,[],[]
85.57,4.2,[],[]
85.82,4.0,[],[]
86.05,4.3,[],[]
86.3,4.0,[],[]
86.52,4.5,[],['chair']
86.77,4.0,[],[]
87.01,4.2,[],[]
87.26,4.0,[],[]
87.51,4.0,[],[]
87.76,4.0,[],[]
88.0,4.2,[],[]
88.25,4.1,[],[]
88.48,4.2,[],[]
88.72,4.2,[],[]
88.96,4.2,[],[]
89.2,4.2,[],[]
89.44,4.2,[],[]
89.68,4.2,[],[]
89.93,4.0,[],[]
90.16,4.3,[],[]
90.4,4.2,[],[]
90.64,4.2,[],[]
90.88,4.2,[],[]
91.12,4.2,[],[]
91.36,4.2,[],[]
91.6,4.2,[],[]
91.84,4.2,[],[]
92.08,4.2,[],[]
92.32,4.1,[],[]
92.56,4.2,[],[]
92.82,3.9,[],[]
93.06,4.1,[],[]
93.3,4.2,[],[]
93.54,4.2,[],[]
93.78,4.2,[],[]
94.02,4.2,[],[]
94.26,4.1,[],[]
94.48,4.4,[],[]
94.74,3.9,[],[]
94.98,4.1,[],[]
95.22,4.2,[],[]
95.46,4.2,[],[]
95.72,3.9,[],[]
95.99,3.7,[],[]
96.25,3.7,[],[]
96.52,3.8,[],[]
96.77,3.9,[],[]
97.0,4.4,[],[]
97.25,4.0,[],[]
97.49,4.2,[],[]
97.95,2.2,['pulasthi'],[]
98.43,2.1,['pulasthi'],[]
98.9,2.1,['pulasthi'],[]
99.38,2.1,['pulasthi'],[]
99.85,2.1,['pulasthi'],[]
100.1,3.9,[],[]
100.56,2.2,['pulasthi'],[]
101.04,2.1,['pulasthi'],[]
101.5,2.2,['pulasthi'],[]
101.97,2.1,['pulasthi'],[]
102.21,4.1,[],[]
102.46,4.0,[],[]
102.73,3.7,[],[]
103.0,3.8,[],[]
103.27,3.7,[],[]
103.52,3.9,[],[]
103.78,3.9,[],[]
104.0,4.4,[],[]
104.24,4.1,[],[]
104.48,4.2,[],[]
104.71,4.4,[],[]
104.96,4.0,[],[]
105.22,3.9,[],[]
105.47,4.0,[],[]
105.72,4.0,[],[]
105.97,4.0,[],[]
106.22,4.0,[],[]
106.46,4.1,[],[]
106.71,4.0,[],[]
106.96,4.0,[],[]
107.2,4.1,[],[]
107.45,4.1,[],[]
107.71,3.8,[],[]
107.95,4.0,[],[]
108.2,4.1,[],[]
108.45,4.0,[],[]
108.69,4.2,[],[]
108.93,4.1,[],[]
109.18,4.1,[],[]
109.42,4.2,[],[]
109.65,4.2,[],[]
109.89,4.2,[],[]
110.13,4.2,[],[]
110.37,4.1,[],[]
110.61,4.2,[],[]
110.85,4.2,[],[]
111.09,4.2,[],[]
111.33,4.2,[],[]
111.6,3.7,[],[]
111.84,4.2,[],[]
112.12,3.7,[],[]
112.36,4.1,[],[]
112.61,3.9,[],[]
112.85,4.2,[],[]
113.09,4.2,[],[]
113.33,4.1,[],[]
113.59,3.9,[],[]
113.83,4.2,[],[]
114.07,4.2,[],[]
114.31,4.1,[],[]
114.55,4.1,[],[]
114.79,4.2,[],[]
115.02,4.3,[],[]
115.25,4.4,[],[]
115.49,4.2,[],[]
115.74,4.0,[],[]
115.97,4.3,[],[]
116.21,4.2,[],[]
116.46,4.1,[],[]
116.69,4.2,[],[]
